,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Rikitea,80,PF,1554941954,100,-23.12,-134.97,75.96,21.16
1,Pevek,0,RU,1554941955,77,69.7,170.27,18.9,11.99
2,Albany,75,US,1554941901,45,42.65,-73.75,42.8,9.17
3,Vangaindrano,8,MG,1554941958,93,-23.35,47.6,70.29,2.71
4,Mataura,20,NZ,1554941406,69,-46.19,168.86,55.99,1.01
5,Lagoa,0,PT,1554941942,81,37.14,-8.45,53.6,12.75
6,Kiama,20,AU,1554941844,67,-34.67,150.86,66.0,4.7
7,Saint-Philippe,90,CA,1554941941,55,45.36,-73.48,37.4,3.36
8,Deer Lake,75,CA,1554940800,69,49.18,-57.43,33.8,5.82
9,Punta Arenas,75,CL,1554940346,75,-53.16,-70.91,46.4,6.93
10,Bredasdorp,8,ZA,1554941747,87,-34.53,20.04,62.01,3.36
11,Puerto del Rosario,75,ES,1554939000,63,28.5,-13.86,64.4,17.22
12,Hithadhoo,32,MV,1554941973,100,-0.6,73.08,83.61,2.93
13,Nikolskoye,75,RU,1554941736,94,59.7,30.79,32.0,6.71
14,Isangel,90,VU,1554940800,83,-19.55,169.27,84.2,3.36
15,Alexander City,1,US,1554941942,50,32.94,-85.95,78.8,2.71
16,Carutapera,48,BR,1554941980,95,-1.2,-46.02,78.21,3.71
17,New Norfolk,75,AU,1554941955,54,-42.78,147.06,60.01,8.05
18,Tautira,75,PF,1554940800,58,-17.73,-149.15,87.8,9.17
19,Gijon,75,ES,1554941756,87,43.54,-5.66,50.0,6.93
20,Zhigansk,92,RU,1554941986,89,66.77,123.37,31.5,9.98
21,Karratha,32,AU,1554941698,52,-20.74,116.85,84.96,3.49
22,Hermanus,0,ZA,1554941747,95,-34.42,19.24,62.01,3.6
23,Jamestown,0,AU,1554941835,50,-33.21,138.6,55.62,6.96
24,Caloundra,40,AU,1554941913,60,-26.8,153.14,77.0,10.29
25,Payo,92,ID,1554941995,93,-3.75,103.64,75.78,4.16
26,San Angelo,0,US,1554941736,15,31.46,-100.44,95.0,1.01
27,Luderitz,44,NA,1554941998,89,-26.65,15.16,56.7,10.42
28,Saskylakh,44,RU,1554942000,78,71.97,114.09,-1.35,10.09
29,Geraldton,20,CA,1554937200,50,49.72,-86.95,32.0,16.11
30,Chernyshevskiy,48,RU,1554942003,68,63.01,112.47,17.91,13.67
31,Warrnambool,68,AU,1554941532,81,-38.38,142.48,55.99,2.37
32,Longyearbyen,75,NO,1554940200,79,78.22,15.63,28.4,2.24
33,Boende,88,CD,1554942007,99,-0.28,20.88,71.1,0.13
34,Ushuaia,75,AR,1554937200,90,-54.81,-68.31,51.8,29.97
35,Nerchinskiy Zavod,0,RU,1554942010,37,51.31,119.61,35.91,5.84
36,Amurzet,36,CN,1554942012,77,47.69,131.09,42.12,8.86
37,Port Macquarie,90,AU,1554937200,68,-31.43,152.91,64.4,8.05
38,Chuy,0,UY,1554941993,72,-33.69,-53.46,71.46,16.46
39,Nioro,0,GM,1554942017,30,13.79,-15.05,83.79,9.98
40,Gawler,0,AU,1554942006,41,-34.6,138.75,63.0,11.41
41,Norman Wells,20,CA,1554937200,88,65.28,-126.83,32.0,9.17
42,Hobart,75,AU,1554942021,54,-42.88,147.33,60.01,8.05
43,Pangnirtung,24,CA,1554942024,95,66.15,-65.72,12.6,9.53
44,Katsuura,20,JP,1554941466,62,33.93,134.5,52.0,17.22
45,Upernavik,68,GL,1554942027,100,72.79,-56.15,16.02,18.92
46,Port Pirie,0,AU,1554937200,47,-33.18,138.01,59.0,3.36
47,Grand Bank,90,CA,1554940800,89,47.1,-55.77,32.0,13.87
